Straight Arm Left Front:
-0.1805217 0.4392176 -0.420738
-0.2697287 0.3343971 -0.5251739
-0.3493404 0.1616261 -0.6067803
-0.3627067 -0.1353445 -0.6860356
-0.2591684 -0.3789172 -0.7084188
-0.19995 -0.6268725 -0.6005137
-0.02909267 -0.858063 -0.3842125

Straight Arm Left:
0.1445215 0.5766754 -0.3291965
0.1645789 0.4620275 -0.5807908
0.1600206 0.2970297 -0.7442994
0.1628815 0.09750724 -0.84953
0.1228232 -0.1641195 -0.8859193
0.08233654 -0.5743706 -0.7901795
0.07870936 -0.9111502 -0.3981853

Straight Arm Left Back:
0.4362322 0.5396445 -0.3682406
0.4928248 0.4649229 -0.508636
0.5264397 0.3052423 -0.6676407
0.5944911 0.09812832 -0.7639561
0.5907993 -0.07654428 -0.8152945
0.5504709 -0.424629 -0.781867
0.3410559 -0.8712029 -0.4486513

Straight Arm Right Front:
-0.1892679 0.5498583 0.2361112
-0.3933226 0.3584244 0.4217434
-0.520304 0.09374857 0.4714625
-0.5739567 -0.2515509 0.520756
-0.5646785 -0.4355545 0.4625163
-0.44867 -0.669205 0.374157
-0.2002922 -0.8998923 0.2193747

Straight Arm Right:
0.1380092 0.5645552 0.3986747
0.1191075 0.4278431 0.6506717
0.1337893 0.2491336 0.7920558
0.1184582 -0.09318686 0.9154997
0.1005945 -0.3582883 0.8979959
0.03085411 -0.6430531 0.7744546
0.01203299 -0.9440155 0.2961357

Straight Arm Right Back:
0.4598478 0.49456 0.4111385
0.5879391 0.2885234 0.636204
0.63217 0.1626492 0.7281415
0.6646795 -0.03450394 0.7693307
0.6320871 -0.3490219 0.7914259
0.5651397 -0.6629558 0.6622009
0.3372661 -0.9348981 0.3342919

Half Arm Left Front:
-0.05892968 0.3098497 -0.1072032
-0.06656432 0.1874897 -0.2136154
-0.05772555 0.04841471 -0.3030593
-0.07294202 -0.1163855 -0.3572297
-0.08825636 -0.3517859 -0.4611769
-0.04528427 -0.6702583 -0.4466732
-0.03877497 -0.7009356 -0.2506814

Half Arm Left:
0.1427041 0.3894839 -0.1676552
0.1537362 0.2888589 -0.3564155
0.1797549 0.1803784 -0.4813464
0.2129773 -0.009529829 -0.5805545
0.1738552 -0.3213639 -0.6141138
0.0984726 -0.6491611 -0.4827583
-0.009325147 -0.788007 -0.2299657

Half Arm Left Back:
0.3916867 0.2711892 -0.0392704
0.4336798 0.2223732 -0.1975019
0.5057521 0.0661819 -0.2791293
0.5004599 -0.1144052 -0.350476
0.4660459 -0.2667723 -0.4460745
0.4731572 -0.5113196 -0.4454465
0.3624463 -0.8378437 -0.3023424

Half Arm Right Front:
0.04347646 0.363085 0.1375113
-0.1541927 0.3184774 0.187717
-0.298049 0.1774163 0.2422464
-0.3893671 -0.06605721 0.2930975
-0.3794727 -0.2782404 0.2723427
-0.3418411 -0.4740531 0.2332911
-0.1928602 -0.6801574 0.1499269

Half Arm Right:
0.1220371 0.3669205 0.1413157
0.07778335 0.3580461 0.3080137
0.03889465 0.1870878 0.4471426
-0.00270021 -0.06603932 0.5587573
-0.0157336 -0.2664008 0.5768807
-0.04916096 -0.5648112 0.4906037
-0.02687693 -0.802439 0.2180085

Half Arm Right Back:
0.262602 0.3378565 0.1788845
0.330279 0.259125 0.3409173
0.3590831 0.07383561 0.4503973
0.374447 -0.1048968 0.4849451
0.3366047 -0.373997 0.531687
0.2796811 -0.6936953 0.4641638
0.1463974 -0.8780572 0.2240782

Near Left Front:
0.07372153 0.2105646 -0.03059816
-0.007655978 0.08894539 -0.1432271
-0.02524352 0.005705357 -0.1953723
-0.004926562 -0.1205509 -0.2237585
-0.02817738 -0.2836199 -0.2620213
-0.01472032 -0.4422283 -0.2035043
0.007357955 -0.5208962 -0.10906

Near Left:
0.1534089 0.2443776 -0.06708264
0.1676935 0.1514235 -0.1428342
0.1551296 0.02116561 -0.1709085
0.1779015 -0.1520331 -0.2169721
0.1732998 -0.2909987 -0.2778673
0.1767154 -0.5698497 -0.3207164
0.008642673 -0.7205036 -0.1368282

Near Left Back:
0.2098933 0.2823312 0.0002706051
0.2772816 0.1419485 -0.02697182
0.29178 0.0552938 -0.1094499
0.3116773 -0.1492965 -0.1148226
0.40231 -0.2833078 -0.1580338
0.3729689 -0.5226383 -0.1649926
0.2936754 -0.5154757 -0.1164565

Near Right Front:
0.02776694 0.2142158 0.1132066
-0.09535921 0.1032226 0.1878166
-0.1645962 0.03961658 0.2084079
-0.1933061 -0.1212101 0.2005649
-0.222405 -0.2722089 0.2015429
-0.1998851 -0.4729049 0.168812
-0.05239701 -0.7273269 0.1409719

Near Right:
0.08487844 0.3000066 0.1505151
0.06935823 0.1866 0.2265296
0.0487808 0.01541758 0.2213523
0.02216995 -0.1325915 0.2412713
-0.04715228 -0.3368003 0.2095556
-0.03525031 -0.4745235 0.1164389
-0.06046832 -0.5781844 -0.01503491

Near Right Back:
0.2633643 0.1978126 0.1528327
0.2761791 0.05987549 0.1976385
0.1750339 -0.09559107 0.1582491
0.2018423 -0.2406898 0.1539772
3.122965 2.849111 1.437221
4.723481 4.505333 2.329502
0.02654254 -0.5310097 0.1212976

