Straight Arm Left Front:
0.05979633 0.536449 -0.1562994
-0.02319884 0.441236 -0.4055655
-0.07629538 0.2904992 -0.5981433
-0.08814597 -0.01071596 -0.7543178
-0.05174923 -0.3095331 -0.7686429
-0.03399944 -0.6178253 -0.6638131
-0.01151538 -0.9309492 -0.2853806

Straight Arm Left:
0.2041463 0.5769317 -0.1548984
0.3219564 0.5329492 -0.3601832
0.4190555 0.3748419 -0.5751693
0.4596008 0.04165506 -0.7761774
0.4245204 -0.2402327 -0.8203361
0.3808221 -0.5350606 -0.7595899
0.1931294 -0.9313824 -0.3673837

Straight Arm Left Back:
0.477564 0.5557871 -0.1325941
0.5829304 0.4525118 -0.3645587
0.6664304 0.3419602 -0.452646
0.7957994 0.01253605 -0.5507007
0.8116782 -0.3332613 -0.5289114
0.6397671 -0.6667695 -0.502851
0.3168999 -0.9316931 -0.2694221

Straight Arm Right Front:
-0.1341006 0.5810239 0.2186832
-0.4087203 0.4470818 0.313009
-0.562784 0.2408118 0.4060192
-0.6610409 -0.04781127 0.4592381
-0.6169811 -0.4313402 0.42099
-0.5304556 -0.6334937 0.3710716
-0.222424 -0.9327984 0.1760123

Straight Arm Right:
0.0412147 0.5538604 0.3366899
-0.05943239 0.4856541 0.5601368
-0.1177316 0.2277966 0.837347
-0.1973773 -0.05755591 0.9195604
-0.2805542 -0.441951 0.8537865
-0.2626804 -0.8052793 0.5992603
-0.119832 -0.9739811 0.2386906

Straight Arm Right Back:
0.2168922 0.5621164 0.4449224
0.2689893 0.4506264 0.6489108
0.3007636 0.3220263 0.7902524
0.3247577 -0.05479479 0.9489782
0.3067812 -0.3185375 0.9597764
0.2720584 -0.6446002 0.8125033
0.09390748 -0.9077785 0.3902097

Half Arm Left Front:
0.03711665 0.3885105 -0.1323502
-0.004253626 0.3158917 -0.3212495
-0.02152598 0.2109735 -0.4586625
-0.0195328 0.009309053 -0.5769286
-0.02605367 -0.2592385 -0.6140862
-0.01082456 -0.51524 -0.5500295
0.02482271 -0.7364867 -0.2811346

Half Arm Left:
0.2370639 0.4821975 -0.1594868
0.2851682 0.3385704 -0.3089914
0.3439833 0.1838095 -0.4397242
0.342486 -0.0683012 -0.4587498
0.3495089 -0.3880863 -0.4893591
0.3022863 -0.6152604 -0.4209244
0.1392651 -0.7958965 -0.2149475

Half Arm Left Back:
0.2538385 0.3038535 0.02574229
0.3613052 0.2715132 -0.07249856
0.4997751 0.1699159 -0.131573
0.5901784 -0.06887937 -0.2255228
0.64555 -0.2802982 -0.2893226
0.6008797 -0.5507953 -0.2940278
0.4081051 -0.8177733 -0.1991637

Half Arm Right Front:
0.005618691 0.3222821 0.1272449
-0.2020365 0.3487687 0.2447097
-0.3240818 0.2167094 0.3054974
-0.4569112 -0.0523212 0.314853
-0.4693352 -0.2507503 0.3159974
-0.4287442 -0.4762733 0.254163
-0.2342683 -0.7164099 0.1521702

Half Arm Right:
0.02061164 0.3485363 0.1714928
-0.08122003 0.2591467 0.4131467
-0.1370219 0.1299064 0.5373738
-0.1687622 -0.1095724 0.6178489
-0.2139771 -0.4403152 0.5701704
-0.1864823 -0.7229974 0.3731966
-0.09833741 -0.7837431 0.1483896

Half Arm Right Back:
0.2500157 0.2360055 0.2099428
0.2356638 0.1839261 0.3794045
0.2024828 0.1443517 0.500567
0.1882375 -0.09455013 0.6371918
0.1689315 -0.3223817 0.6525292
0.04537868 -0.6078887 0.574929
-0.02329743 -0.8265295 0.3014987

Near Left Front:
0.04375088 0.2110941 -0.005613327
0.02447534 0.1565361 -0.1553392
0.001363158 0.05566168 -0.2564657
0.007796288 -0.07553911 -0.3256564
0.01536322 -0.263133 -0.3656247
0.04020536 -0.397115 -0.2886777
0.02243543 -0.4787467 -0.127156

Near Left:
0.1670597 0.2270126 -0.03785419
0.2114742 0.1822369 -0.1693156
0.2360836 0.02687168 -0.2479038
0.2360801 -0.2105827 -0.2650073
0.2303427 -0.4743211 -0.2929497
0.1852816 -0.5498579 -0.2172527
0.1599609 -0.566319 -0.1526423

Near Left Back:
0.2717235 0.1716838 0.05806947
0.3083603 0.1232054 0.01061177
0.3487283 0.04088259 -0.01425052
0.352445 -0.1821349 0.008458614
0.4393296 -0.3276081 -0.05950117
0.3780153 -0.4450743 -0.05134821
0.3334594 -0.5055199 -0.04421687

Near Right Front:
0.04897082 0.2031446 0.08787799
-0.09607673 0.1866131 0.1487648
-0.1781212 0.1152666 0.1743014
-0.257467 -0.02858639 0.2018435
-0.2976274 -0.2336879 0.1798811
-0.2349107 -0.3748732 0.1244743
-0.03108752 -0.4462075 0.01485157

Near Right:
0.07586741 0.2341588 0.1170061
0.003651977 0.1260524 0.2090802
-0.05554879 0.02037883 0.2755837
-0.09230578 -0.19642 0.288641
-0.03058147 -0.4041343 0.2710392
-0.02550828 -0.525604 0.2213066
-0.05254877 -0.566298 0.1272683

Near Right Back:
0.1889759 0.1479359 0.138185
0.2164029 0.02209997 0.2145135
0.1916087 -0.06701136 0.2401762
0.1749632 -0.2325695 0.2499094
0.05402493 -0.4021444 0.3162839
0.07115722 -0.3904209 0.3414507
0.0520972 -0.5387855 0.206933

