Straight Arm Left Front:
-0.1683597 0.572688 0.02766326
-0.3146022 0.4384592 0.2984333
-0.5130955 0.2372206 0.3971266
-0.6310124 -0.1453556 0.4611867
-0.6334383 -0.4344896 0.4083014
-0.528206 -0.7457784 0.2663952
-0.2356715 -0.9651444 0.01559791

Straight Arm Left:
-0.300804 0.5666997 -0.113867
-0.5514886 0.4710768 -0.112949
-0.7814571 0.2370924 -0.1772546
-0.8855001 -0.05401474 -0.2105762
-0.8630396 -0.2888646 -0.2228699
-0.7938212 -0.6066516 -0.2120804
-0.3425668 -0.9710046 -0.1597238

Straight Arm Left Back:
-0.2363546 0.5641704 -0.2802322
-0.4366923 0.4846781 -0.4092337
-0.5737747 0.3528678 -0.5224117
-0.7040944 0.06095025 -0.6263873
-0.7432625 -0.2677985 -0.617053
-0.666415 -0.6296796 -0.5122166
-0.3317454 -0.9650159 -0.2529975

Straight Arm Right Front:
0.134571 0.5915212 0.03291526
0.4226226 0.4340707 0.3095471
0.576992 0.171737 0.4525122
0.6118072 -0.1585146 0.5386512
0.5655622 -0.4574282 0.5192018
0.447153 -0.7119102 0.4205119
0.2677758 -0.9632856 0.0354932

Straight Arm Right:
0.2810923 0.5988474 -0.1492222
0.6128889 0.4540391 -0.2272189
0.8349788 0.1857719 -0.2915792
0.9148198 -0.1251726 -0.3051172
0.8534957 -0.5457827 -0.2369119
0.6368645 -0.8205123 -0.1626083
0.3819114 -0.936173 -0.1026849

Straight Arm Right Back:
0.3211696 0.5359851 -0.5162987
0.4679563 0.4224563 -0.6211087
0.6126412 0.1511619 -0.7498728
0.7181665 0.02067114 -0.9610163
0.9382324 -0.1438866 -1.275996
0.9315643 -0.09289876 -1.265244
0.5942979 -0.8617556 -0.2618491

Half Arm Left Front:
-0.1215735 0.3884043 -0.1265817
-0.3054262 0.3323599 0.06195003
-0.4217965 0.200309 0.1938951
-0.5004943 -0.02778572 0.2620681
-0.5086979 -0.3319197 0.2807456
-0.4436067 -0.5920004 0.2289084
-0.1311435 -0.8176547 0.058538

Half Arm Left:
-0.1654056 0.4016566 -0.1255628
-0.3944499 0.3321731 -0.1396068
-0.5614132 0.1740204 -0.1557967
-0.6710567 -0.1423836 -0.1187606
-0.667392 -0.4885077 -0.1264089
-0.480473 -0.7398201 -0.08041704
-0.1789366 -0.881699 -0.02164853

Half Arm Left Back:
-0.1032675 0.276268 -0.3174177
-0.2700225 0.19686 -0.4408877
-0.3811904 0.06033425 -0.4698148
-0.4689175 -0.1661066 -0.4758925
-0.4902366 -0.5270243 -0.4111279
-0.3623129 -0.7607732 -0.141187
-0.1702223 -0.7559915 0.008402079

Half Arm Right Front:
0.09126123 0.3059831 -0.07802906
0.1899118 0.3551838 0.05685653
0.2984887 0.2595798 0.2069328
0.4339387 0.02875799 0.3559039
0.4688494 -0.2747127 0.3928812
0.3995098 -0.4888585 0.3676902
0.2394185 -0.7358556 0.2005903

Half Arm Right:
0.1866567 0.3700531 -0.09507676
0.353389 0.3193815 -0.05677202
0.5383272 0.1864408 -0.01368976
0.6654041 -0.1036422 -0.00528115
0.6653486 -0.3588673 0.08333623
0.4974617 -0.6405607 0.1543735
0.2772959 -0.8660384 0.08589713

Half Arm Right Back:
0.120853 0.369177 -0.2710415
0.3131044 0.2792268 -0.3604399
0.4274602 0.1685861 -0.4026444
0.5242636 -0.04385117 -0.4375215
0.61195 -0.3182198 -0.3728608
0.5280966 -0.6469126 -0.1535466
0.3872827 -0.5995018 -0.1936375

Near Left Front:
-0.03906476 0.2348893 -0.1346887
-0.1516685 0.2037895 -0.04579404
-0.2616021 0.1043295 0.03954402
-0.3439896 -0.06668354 0.1080215
-0.3577234 -0.282723 0.09578156
-0.2218353 -0.3831021 0.06095855
-0.1248565 -0.4980342 0.01014543

Near Left:
-0.07955514 0.2543054 -0.1674638
-0.2270191 0.2440663 -0.1580348
-0.3325215 0.1247748 -0.1564124
-0.4076418 -0.1186343 -0.1083495
-0.3637164 -0.2989093 -0.03739583
-0.2829693 -0.4744647 0.0009567142
-0.1539562 -0.5007452 -0.02774602

Near Left Back:
-0.005551726 0.2224079 -0.2803359
-0.111186 0.1337012 -0.3759842
-0.1707523 -0.04781777 -0.4013287
-0.1890672 -0.2890211 -0.3141097
-0.1214261 -0.4654563 -0.2645895
-0.0549948 -0.6036993 -0.1535031
-0.0132204 -0.6526175 -0.08738729

Near Right Front:
0.07298803 0.2632135 -0.05762559
0.1651677 0.2519416 0.07119291
0.2634798 0.1480472 0.2024611
0.3554066 -0.09272203 0.3076483
0.3438923 -0.3299957 0.3171754
0.2255948 -0.4086583 0.1151126
0.1547559 -0.4902279 0.01971487

Near Right:
0.05069228 0.2200136 -0.1537787
0.1753271 0.1279623 -0.09408594
0.2590379 -0.0001560263 -0.05872284
0.291072 -0.1941818 -0.001965865
0.263622 -0.4070369 0.0136614
0.3000218 -0.5715849 0.05529463
0.1475351 -0.5614222 0.1489772

Near Right Back:
0.0642268 0.1733495 -0.2609125
0.106159 0.1372719 -0.2727055
0.1435527 0.006926373 -0.2405823
0.1487706 -0.2568603 -0.2535389
0.2407713 -0.4583799 -0.209218
0.2388214 -0.5345883 -0.157956
0.2194356 -0.4444532 0.03570995

