Straight Arm Left Front:
0.06011105 -0.5576363 0.2488947
0.0687968 -0.5611603 0.2426185
0.07048057 -0.5809465 0.2138918
0.08258769 -0.5780848 0.2109416
0.1157121 -0.5634248 0.1856088
0.1256619 -0.5559171 0.1878263
0.1075739 -0.5904089 0.1810931

Straight Arm Left:
-0.1088372 -0.6097697 0.1231246
-0.01572468 -0.5861493 0.2190012
-0.006852318 -0.5930035 0.209347
0.02618492 -0.5863404 0.2084627
0.03879805 -0.561913 0.2227997
0.03377231 -0.5733097 0.2041033
0.04157244 -0.5779185 0.201268

Straight Arm Left Back:
-0.09561808 -0.5797203 0.08092675
-0.1016901 -0.5826874 0.07359402
-0.1023095 -0.582937 0.06763101
-0.06228281 -0.605659 0.05884795
-0.03629773 -0.5828181 0.1521122
-0.03204905 -0.5650436 0.1939004
0.001372829 -0.5525862 0.2265128

Straight Arm Right Front:
-0.1905478 -0.9906302 -0.02209985
-0.2132599 -0.9864466 -0.01642664
-0.2148854 -0.9910676 -0.01834638
-0.211128 -0.9886497 -2.503395E-05
-0.2133339 -0.9771919 0.03115012
-0.2181082 -0.9695407 0.04242337
-0.2559719 -0.9464195 0.009672821

Straight Arm Right:
-0.1997607 -1.006206 -0.03501055
-0.2408491 -0.983638 -0.03654279
-0.2300428 -0.9912686 -0.02525097
-0.2007343 -0.9919381 0.01481652
-0.2095405 -0.986977 -0.001557589
-0.2235984 -0.9818084 -0.001033336
-0.2398549 -0.9723516 -0.05925533

Straight Arm Right Back:
-0.06446677 -0.987797 0.06150772
-0.1063935 -0.9903068 0.03132475
-0.08805683 -0.9948297 0.01458319
-0.1544509 -0.9853068 0.03067911
-0.1532857 -0.9880791 0.04606104
-0.1648573 -0.9826552 0.04981612
-0.2033323 -0.9792523 0.02147737

Half Arm Left Front:
0.177975 -0.9609708 0.1297572
0.178147 -0.9682054 0.1132331
0.1765282 -0.9729289 0.1053284
0.1749649 -0.9724154 0.11122
0.1759174 -0.9699485 0.1167505
0.1718969 -0.9673646 0.1261497
0.1688443 -0.9917678 0.01629251

Half Arm Left:
0.1923298 -0.9664788 0.08527118
0.1937779 -0.9792967 0.04078832
0.2050733 -0.9736122 0.06760362
0.2035504 -0.9672517 0.08503821
0.2066681 -0.9656597 0.0900256
0.2009065 -0.9623753 0.1119782
0.1892014 -0.965188 0.1037905

Half Arm Left Back:
0.1546606 -0.9659243 0.03896815
0.1765772 -0.9725801 -0.002726138
0.2183541 -0.9499856 0.07407832
0.2038512 -0.9574335 0.1062157
0.1866222 -0.9640474 0.08144456
0.1884478 -0.9634615 0.07603313
0.19576 -0.9661702 0.05247483

Half Arm Right Front:
-0.2353413 -0.9414456 -0.02510512
-0.24669 -0.9328456 -0.0288337
-0.240519 -0.9410148 -0.02934879
-0.2346669 -0.9459192 -0.01944202
-0.2613452 -0.9343318 0.001165926
-0.2600791 -0.9338748 0.01160496
-0.2387061 -0.9292548 0.06528491

Half Arm Right:
-0.2417574 -0.9270926 0.02769619
-0.2704395 -0.9207233 0.02403009
-0.2562133 -0.9248692 0.03997965
-0.2482238 -0.9258556 0.05472779
-0.2512866 -0.9301553 0.03612185
-0.2457659 -0.9272482 0.04709947
-0.2481605 -0.9190475 0.07649386

Half Arm Right Back:
-0.1093745 -0.937255 0.180855
-0.08314244 -0.9463674 0.1639114
-0.08362001 -0.949216 0.1551772
-0.09698994 -0.9409037 0.1406835
-0.1300754 -0.93971 0.1265023
-0.19294 -0.930397 0.1168597
-0.1997587 -0.9188966 0.1360113

Near Left Front:
0.04747869 -0.7385664 0.1803089
0.05141829 -0.7401897 0.164723
0.05432221 -0.7361459 0.1574917
0.04031804 -0.7291253 0.1639607
0.03837458 -0.7269994 0.1664689
0.03695662 -0.730283 0.1534132
0.02801179 -0.7283887 0.1553873

Near Left:
0.03301104 -0.8527142 0.01348318
0.06565227 -0.8590144 0.02021402
0.1318683 -0.8282197 0.09298362
0.1265031 -0.8264068 0.09050646
0.1335744 -0.8249745 0.06357929
0.1331051 -0.8239586 0.06878662
0.1337509 -0.822286 0.06617998

Near Left Back:
0.007990383 -0.951754 0.008961864
0.056805 -0.9367984 0.03630394
0.03877369 -0.9355581 -0.02632336
0.03509389 -0.9218795 0.002540484
0.03743645 -0.9197022 0.00288555
0.05505328 -0.9196944 0.007075816
0.06034561 -0.9168012 0.01194249

Near Right Front:
-0.2141591 -0.9576665 0.002272442
-0.2378175 -0.9488733 -0.006682694
-0.2346044 -0.9480009 -0.009791851
-0.2314958 -0.9477382 -0.01671183
-0.2357476 -0.9440414 0.007529408
-0.2358877 -0.946503 0.004095644
-0.2345683 -0.9456295 0.01679403

Near Right:
-0.2205454 -0.9198476 0.09297612
-0.2294132 -0.9219388 0.08651733
-0.2225993 -0.9225684 0.08734804
-0.2158375 -0.9197654 0.1005938
-0.2159923 -0.9098611 0.1162239
-0.2286911 -0.9082521 0.1155695
-0.2456616 -0.9032227 0.1221558

Near Right Back:
-0.1816884 -0.9272155 0.1333912
-0.2163008 -0.9346797 0.07879016
-0.2107976 -0.9404019 0.07823524
-0.2173225 -0.9385099 0.1013773
-0.2122839 -0.9303527 0.04923485
-0.2126702 -0.9395183 0.03090706
-0.2063373 -0.941675 0.02385956

