target positions:
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.427523 1.766686 -3.184566 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.590023 1.766686 -3.141024 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.708981 1.766686 -3.022066 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.752523 1.766686 -2.859566 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.708981 1.766686 -2.697066 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.590023 1.766686 -2.578108 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.427523 1.766686 -2.534566 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.265023 1.766686 -2.578108 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.146065 1.766686 -2.697066 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.102523 1.766686 -2.859566 
-1.146065 1.766686 -3.022066 
-1.146065 1.766686 -3.022066 
-1.146065 1.766686 -3.022066 
-1.146065 1.766686 -3.022066 
-1.146065 1.766686 -3.022066 
-1.146065 1.766686 -3.022066 
