target positions:
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.490114 1.586198 -3.252442 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.652614 1.586198 -3.2089 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.771572 1.586198 -3.089942 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.815114 1.586198 -2.927442 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.771572 1.586198 -2.764942 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.652614 1.586198 -2.645984 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.490114 1.586198 -2.602442 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.327614 1.586198 -2.645984 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.208656 1.586198 -2.764942 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.165114 1.586198 -2.927442 
-1.208656 1.586198 -3.089942 
-1.208656 1.586198 -3.089942 
