target positions:
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.462161 1.697501 -3.185521 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.624661 1.697501 -3.141979 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.74362 1.697501 -3.023021 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.787161 1.697501 -2.860521 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.74362 1.697501 -2.698021 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.624661 1.697501 -2.579063 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.462161 1.697501 -2.535521 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.299661 1.697501 -2.579063 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
-1.180703 1.697501 -2.698021 
