target positions:
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.244014 1.795324 -3.297691 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.406514 1.795324 -3.254149 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.525473 1.795324 -3.135191 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.569014 1.795324 -2.972691 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.525473 1.795324 -2.810191 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.406514 1.795324 -2.691233 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.244014 1.795324 -2.647691 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-1.081514 1.795324 -2.691233 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9625561 1.795324 -2.810191 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9190143 1.795324 -2.972691 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-0.9625561 1.795324 -3.135191 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.081514 1.795324 -3.254149 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.244014 2.033241 -3.535607 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.525473 2.033241 -3.460191 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.731514 2.033241 -3.254149 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.806931 2.033241 -2.972691 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.731514 2.033241 -2.691233 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.525473 2.033241 -2.485191 
-1.244014 2.033241 -2.409774 
