target positions:
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.373642 1.687513 -3.179095 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.536142 1.687513 -3.135553 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.6551 1.687513 -3.016594 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.698642 1.687513 -2.854095 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.6551 1.687513 -2.691595 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.536142 1.687513 -2.572636 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.373642 1.687513 -2.529094 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.211142 1.687513 -2.572636 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.092184 1.687513 -2.691595 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.048642 1.687513 -2.854095 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.092184 1.687513 -3.016594 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.211142 1.687513 -3.135553 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.373642 1.925429 -3.417011 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.655101 1.925429 -3.341594 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.861142 1.925429 -3.135553 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.936559 1.925429 -2.854095 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.861142 1.925429 -2.572636 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.6551 1.925429 -2.366595 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.373642 1.925429 -2.291178 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-1.092184 1.925429 -2.366595 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8861423 1.925429 -2.572636 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8107257 1.925429 -2.854095 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-0.8861423 1.925429 -3.135553 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.092184 1.925429 -3.341594 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.373642 2.250429 -3.504095 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
-1.698642 2.250429 -3.417011 
