target positions:
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.210685 1.850416 -3.732219 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.373186 1.850416 -3.688677 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.492144 1.850416 -3.569718 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.535686 1.850416 -3.407218 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.492144 1.850416 -3.244719 
-1.373186 1.850416 -3.12576 
-1.373186 1.850416 -3.12576 
-1.373186 1.850416 -3.12576 
