target positions:
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
1.033666 2.334135 0.002554744 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.8711656 2.334135 0.04609647 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7522074 2.334135 0.1650547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7086657 2.334135 0.3275547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.7522074 2.334135 0.4900547 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
0.8711656 2.334135 0.609013 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.033666 2.334135 0.6525546 
1.196166 2.334135 0.609013 
1.196166 2.334135 0.609013 
1.196166 2.334135 0.609013 
