target positions:
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.124947 2.034118 -3.815448 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.287447 2.034118 -3.771906 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.406405 2.034118 -3.652948 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.449947 2.034118 -3.490448 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.406405 2.034118 -3.327948 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.287447 2.034118 -3.20899 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-1.124947 2.034118 -3.165448 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.962447 2.034118 -3.20899 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.8434888 2.034118 -3.327948 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.799947 2.034118 -3.490448 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
-0.8434888 2.034118 -3.652948 
