target positions:
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
1.066995 2.354399 0.1703704 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.9044954 2.354399 0.2139122 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7855371 2.354399 0.3328704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7419954 2.354399 0.4953704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.7855371 2.354399 0.6578704 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
0.9044954 2.354399 0.7768286 
1.066995 2.354399 0.8203703 
