target positions:
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.213878 1.706951 -3.07675 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.376378 1.706951 -3.033208 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.495336 1.706951 -2.914249 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.538878 1.706951 -2.75175 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.495336 1.706951 -2.58925 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.376378 1.706951 -2.470291 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.213878 1.706951 -2.426749 
-1.051378 1.706951 -2.470291 
-1.051378 1.706951 -2.470291 
-1.051378 1.706951 -2.470291 
