target positions:
1.368258 2.871334 0.7039902 
1.505077 2.865695 0.6448429 
1.583789 2.859596 0.5182848 
1.576374 2.855208 0.3693705 
1.485469 2.854093 0.2511127 
1.343439 2.856647 0.2056105 
1.200843 2.861962 0.2490625 
1.37304 2.729431 0.791275 
1.555465 2.721914 0.7124119 
1.660415 2.713782 0.543668 
1.650528 2.707931 0.3451157 
1.529322 2.706443 0.1874385 
1.339948 2.709849 0.1267688 
1.149821 2.716936 0.184705 
1.377822 2.587529 0.8785601 
1.605854 2.578132 0.7799811 
1.737041 2.567967 0.5690513 
1.724682 2.560653 0.3208609 
1.573175 2.558794 0.123764 
1.336457 2.563051 0.04792714 
1.098798 2.57191 0.1203475 
1.38845 3.014618 0.8532858 
1.609829 3.005495 0.7575831 
1.737188 2.995627 0.5528083 
1.725189 2.988527 0.3118598 
1.578103 2.986722 0.1205144 
1.348292 2.990855 0.04689026 
1.117568 2.999454 0.1171975 
1.399963 2.920477 0.9903359 
1.695135 2.908313 0.8627324 
1.864947 2.895156 0.5896993 
1.848948 2.885688 0.2684345 
1.652834 2.883282 0.01330733 
1.346419 2.888793 -0.08485794 
1.038787 2.900259 0.008884668 
1.411476 2.826336 1.127386 
1.780441 2.811131 0.9678817 
1.992706 2.794684 0.6265903 
1.972708 2.782851 0.2250094 
1.727564 2.779842 -0.09389949 
1.344547 2.786731 -0.2166064 
0.9600066 2.801064 -0.0994277 
1.402671 3.206736 0.9314895 
1.67033 3.195706 0.8157797 
1.824315 3.183774 0.5681953 
1.809807 3.175189 0.2768748 
1.631972 3.173007 0.04552722 
1.354117 3.178004 -0.04348826 
1.075159 3.188402 0.04151702 
1.418924 3.176634 1.094608 
1.775803 3.161927 0.9403281 
1.981116 3.146019 0.6102152 
1.961772 3.134573 0.2217879 
1.724659 3.131663 -0.08667517 
1.354186 3.138326 -0.2053628 
0.9822419 3.152189 -0.09202242 
1.435177 3.146533 1.257726 
1.881276 3.128149 1.064876 
2.137917 3.108263 0.6522353 
2.113738 3.093956 0.1667013 
1.817346 3.090318 -0.218878 
1.354255 3.098647 -0.3672373 
0.8893247 3.115976 -0.2255621 
1.40846 3.414468 0.9250798 
1.676119 3.403438 0.80937 
1.830104 3.391506 0.5617855 
1.815597 3.382922 0.2704649 
1.637761 3.380739 0.03911734 
1.359907 3.385736 -0.04989815 
1.080949 3.396134 0.03510714 
1.426644 3.45361 1.086061 
1.783522 3.438904 0.9317813 
1.988835 3.422995 0.6016686 
1.969492 3.411549 0.2132413 
1.732378 3.408639 -0.095222 
1.361906 3.415302 -0.2139094 
0.9899611 3.429165 -0.100569 
1.444827 3.492753 1.247042 
1.890925 3.474369 1.054193 
2.147566 3.454484 0.641552 
2.123387 3.440176 0.1560178 
1.826995 3.436539 -0.2295611 
1.363904 3.444867 -0.3779206 
0.8989738 3.462197 -0.2362452 
1.404818 3.601896 0.8351641 
1.626196 3.592773 0.7394619 
1.753556 3.582905 0.5346868 
1.741556 3.575804 0.2937384 
1.594471 3.573999 0.1023929 
1.36466 3.578132 0.02876902 
1.133936 3.586732 0.09907603 
1.421787 3.703514 0.9661736 
1.716958 3.69135 0.8385706 
1.88677 3.678193 0.5655375 
1.870772 3.668725 0.2442727 
1.674657 3.666319 -0.01085448 
1.368243 3.67183 -0.1090198 
1.060611 3.683296 -0.01527715 
1.438756 3.805133 1.097184 
1.80772 3.789928 0.9376798 
2.019985 3.773481 0.5963879 
1.999987 3.761647 0.1948071 
1.754844 3.758638 -0.1241019 
1.371826 3.765527 -0.2468085 
0.9872859 3.77986 -0.1296301 
result positions:
1.36757 2.650133 0.7628732 
1.538753 2.705543 0.6882002 
1.533137 2.68084 0.5510116 
1.631446 2.700909 0.3537965 
1.538599 2.565291 0.1506131 
1.447917 2.710134 0.1488097 
1.252757 2.530217 0.2206652 
1.36337 2.257763 0.8414555 
1.549185 2.450352 0.7632213 
1.614152 2.570602 0.5730615 
1.70346 2.497676 0.2978778 
1.603198 2.401274 0.1485944 
1.348881 2.469409 0.08958077 
1.253264 2.455752 0.1312685 
1.436616 2.295761 0.9262695 
1.594537 2.575537 0.7760081 
1.704348 2.398399 0.6160069 
1.5903 2.566019 0.3422284 
1.537614 2.425088 0.1547852 
1.323091 2.374507 0.1777658 
1.231336 2.364946 0.09633851 
1.438437 2.853359 0.8555799 
1.664309 2.793725 0.8242431 
1.7397 2.958141 0.5692134 
1.690147 2.988073 0.3036561 
1.649559 2.800045 0.003578424 
1.404858 2.826881 -0.1447012 
1.225267 2.753624 0.05909491 
1.484631 2.661413 0.9097843 
1.663519 2.726568 0.8261223 
1.871366 2.820687 0.6411686 
1.823395 2.899503 0.2652726 
1.685536 2.796274 -0.06136322 
1.379673 2.717121 -0.0388937 
1.084482 2.583188 -0.01554537 
1.375368 2.562576 1.111114 
1.78644 2.665644 0.9314032 
1.9948 2.794799 0.6474471 
1.900058 2.804991 0.2469523 
1.734273 2.742132 -0.1366777 
1.275052 2.52945 -0.1014609 
1.124768 2.592875 0.000587225 
1.408509 3.123734 0.8971982 
1.612397 3.115826 0.8119645 
1.795929 3.186708 0.5810103 
1.770211 3.185581 0.281559 
1.625002 3.162298 0.03755569 
1.325593 3.144993 0.04187155 
1.083635 3.128538 -0.210155 
1.76476 3.530568 1.058203 
1.721955 3.029123 0.944221 
1.920755 3.149742 0.6171141 
1.948643 3.137471 0.2211819 
1.715965 3.13762 -0.07841611 
1.384314 3.000324 -0.2365923 
0.9703002 3.14034 -0.09450388 
1.512208 2.867971 1.184814 
1.767416 2.98863 1.000594 
2.076221 3.10876 0.6743236 
2.092568 3.107321 0.1665576 
1.776863 3.112284 -0.201637 
1.293162 2.825068 -0.2492037 
1.035517 2.93666 -0.2002611 
1.531474 3.344566 0.9755087 
1.711947 3.381622 0.8082633 
1.796805 3.383366 0.5714378 
1.786905 3.376343 0.2734797 
1.630544 3.37564 0.0425756 
1.382224 3.424723 -0.1333261 
1.057415 3.39781 -0.03764176 
1.388838 3.371184 1.131491 
1.787163 3.356858 0.9316387 
1.955545 3.425071 0.5937786 
1.955402 3.410205 0.2190156 
1.725966 3.393872 -0.05914116 
1.296741 3.432419 -0.126183 
1.132557 3.36649 -0.1468368 
1.483627 3.406524 1.177086 
1.665052 3.411442 0.8579354 
2.09445 3.46883 0.6413128 
2.085318 3.460552 0.1645381 
1.81076 3.441431 -0.2133701 
1.39637 3.36749 -0.1781378 
0.9868274 3.345092 -0.183259 
1.483082 3.484761 0.9050932 
1.570275 3.577983 0.7555747 
1.724286 3.574732 0.5320134 
1.6863 3.525466 0.3189342 
1.576709 3.575624 0.09961057 
1.333364 3.603882 -0.04205608 
1.107141 3.531602 -0.0002629757 
1.421521 3.586271 1.068562 
1.753547 3.564046 0.8028445 
1.833122 3.655303 0.5822423 
1.840186 3.649543 0.2497296 
1.644227 3.645819 0.03759623 
1.349123 3.584001 -0.0417583 
1.036373 3.607876 -0.05189228 
1.497218 3.640624 1.098075 
1.633334 3.527613 0.8413577 
1.90188 3.650525 0.5966985 
1.721272 3.583048 0.2987289 
1.589684 3.591797 0.09376431 
1.341349 3.647314 -0.07822847 
1.016317 3.573457 -0.09583282 
result visibles:
False
False
False
False
False
