target positions:
1.435735 3.061121 0.8070049 
1.566881 3.068175 0.736289 
1.634582 3.069908 0.6033854 
1.614737 3.065705 0.4556079 
1.51441 3.057062 0.3455639 
1.369318 3.047055 0.3124292 
1.231113 3.039247 0.3679996 
1.447298 2.995661 0.8461986 
1.598684 3.003803 0.7645688 
1.676834 3.005804 0.6111534 
1.653926 3.000952 0.4405682 
1.538116 2.990974 0.3135405 
1.37063 2.979423 0.2752919 
1.211095 2.97041 0.3394387 
1.45886 2.9302 0.8853927 
1.630487 2.93943 0.7928486 
1.719086 2.941699 0.6189213 
1.693115 2.936198 0.4255285 
1.56182 2.924887 0.281517 
1.371942 2.911791 0.2381544 
1.191076 2.901573 0.3108778 
1.455881 3.204803 0.955925 
1.66808 3.216215 0.8415041 
1.777622 3.21902 0.626462 
1.745512 3.212219 0.3873525 
1.583181 3.198234 0.2092979 
1.348417 3.182042 0.1556849 
1.124796 3.169409 0.2455993 
1.470553 3.161517 1.018103 
1.715502 3.17469 0.8860226 
1.841951 3.177929 0.6377912 
1.804885 3.170079 0.3617785 
1.617499 3.153934 0.1562436 
1.346503 3.135244 0.09435606 
1.088368 3.120661 0.1981475 
1.485225 3.118231 1.080281 
1.762923 3.133166 0.930541 
1.906279 3.136837 0.6491208 
1.864257 3.127938 0.3362045 
1.651818 3.109635 0.1031892 
1.344589 3.088446 0.03302717 
1.051941 3.071913 0.1506958 
1.45959 3.396978 1.035185 
1.71615 3.410776 0.8968439 
1.848593 3.414167 0.6368456 
1.809771 3.405945 0.3477488 
1.613502 3.389036 0.1324706 
1.329659 3.36946 0.06764936 
1.059289 3.354185 0.1763611 
1.474834 3.383352 1.109596 
1.770991 3.39928 0.949903 
1.923875 3.403195 0.6497774 
1.87906 3.393703 0.3160625 
1.652501 3.374184 0.06755877 
1.32485 3.351587 -0.007266521 
1.012752 3.333955 0.1182232 
1.490078 3.369726 1.184006 
1.825832 3.387783 1.002963 
1.999157 3.392222 0.6627095 
1.94835 3.381461 0.2843761 
1.691499 3.359333 0.002647161 
1.320041 3.333714 -0.08218288 
0.9662144 3.313724 0.06008554 
1.44622 3.604419 1.031081 
1.70278 3.618217 0.8927393 
1.835224 3.621608 0.632741 
1.796401 3.613386 0.3436441 
1.600133 3.596477 0.128366 
1.31629 3.5769 0.06354475 
1.045919 3.561626 0.1722565 
1.459401 3.622808 1.104858 
1.755558 3.638736 0.9451652 
1.908442 3.642651 0.6450396 
1.863627 3.63316 0.3113244 
1.637068 3.613641 0.06282091 
1.309417 3.591043 -0.01200461 
0.9973185 3.573411 0.1134853 
1.472582 3.641198 1.178635 
1.808335 3.659256 0.997591 
1.98166 3.663694 0.6573381 
1.930854 3.652934 0.2790046 
1.674003 3.630805 -0.002724171 
1.302545 3.605186 -0.08755422 
0.9487178 3.585197 0.05471396 
1.418084 3.791256 0.9443212 
1.630282 3.802669 0.8299003 
1.739825 3.805474 0.6148582 
1.707715 3.798673 0.3757486 
1.545383 3.784688 0.1976941 
1.310619 3.768496 0.1440811 
1.086998 3.755863 0.2339954 
1.426922 3.838482 1.004708 
1.671871 3.851656 0.8726277 
1.79832 3.854894 0.6243966 
1.761254 3.847044 0.3483839 
1.573869 3.8309 0.1428487 
1.302872 3.81221 0.08096123 
1.044738 3.797626 0.1847529 
1.43576 3.885708 1.065095 
1.713459 3.900643 0.9153552 
1.856815 3.904314 0.633935 
1.814793 3.895415 0.3210187 
1.602354 3.877112 0.0880034 
1.295124 3.855923 0.01784134 
1.002477 3.83939 0.1355102 
result positions:
1.470883 3.092306 0.8545871 
1.587698 3.02132 0.8126559 
1.616874 3.053326 0.6368032 
1.645691 3.032792 0.4497385 
1.532137 3.069606 0.3553092 
1.370443 3.089721 0.3067372 
1.2805 3.026043 0.2867517 
1.420523 2.965669 0.9178886 
1.573829 2.966115 0.8887424 
1.735742 2.946646 0.6390238 
1.685349 2.998928 0.4611921 
1.594065 2.970495 0.2882037 
1.377036 2.951237 0.2292473 
1.250312 3.066219 0.396117 
1.429718 2.834635 1.035757 
1.610969 2.90905 0.8409863 
1.728557 2.834216 0.686132 
1.827963 2.766552 0.4177735 
1.56671 2.90364 0.2675602 
1.409973 2.83516 0.1259754 
1.204707 2.91074 0.311563 
1.375703 3.143509 1.072594 
1.677283 3.137081 0.8948283 
1.840493 3.153219 0.6441326 
1.74365 3.239311 0.3828139 
1.579618 3.218684 0.221122 
1.323043 3.17505 0.1437244 
1.198083 3.140871 0.2227964 
1.312954 3.029081 1.155921 
1.580997 3.049213 0.9394879 
1.861234 3.136724 0.6489575 
1.823517 3.190324 0.3759298 
1.614391 3.160273 0.1731977 
1.349877 3.179479 0.09534168 
1.165012 3.125026 0.2111194 
1.439292 3.020704 1.14724 
1.747061 3.064345 0.9860139 
1.915402 3.145971 0.6721911 
1.909533 3.130041 0.298743 
1.638374 3.151166 0.121892 
1.354488 3.098671 0.01235104 
1.143564 3.045888 0.1671369 
1.418508 3.263939 1.147667 
1.712171 3.365137 0.9510226 
1.889107 3.409018 0.6512671 
1.795911 3.421019 0.3651354 
1.593409 3.415737 0.1583822 
1.327059 3.380801 0.07804108 
1.062976 3.380651 0.204576 
1.362767 3.251556 1.152035 
1.756276 3.304075 1.04578 
1.929067 3.413919 0.6829948 
1.913822 3.423927 0.3079758 
1.657165 3.37272 0.08455992 
1.316218 3.368004 0.03442955 
0.9938273 3.333127 0.1315439 
1.173774 3.165706 1.156074 
1.762391 3.272346 1.005977 
2.053624 3.415231 0.7047493 
1.957514 3.410975 0.2921882 
1.674536 3.388443 0.05515003 
1.327734 3.366669 -0.06789565 
0.9896154 3.279157 -0.02142596 
1.381696 3.5927 1.184374 
1.783533 3.610789 0.9711957 
1.807759 3.677613 0.6901453 
1.785121 3.619296 0.3719523 
1.56252 3.622536 0.1522667 
1.286542 3.591292 0.08235478 
1.076583 3.620315 0.1250031 
1.382203 3.614419 1.157068 
1.811558 3.647012 0.9196386 
1.896152 3.660721 0.6258252 
1.849943 3.674835 0.3581765 
1.545477 3.662632 0.1481366 
1.292111 3.618383 0.03087902 
0.9994471 3.638578 0.08313918 
1.410453 3.611304 1.262513 
1.823657 3.653806 1.091934 
1.965355 3.683949 0.6585653 
1.900832 3.711662 0.3373106 
1.671549 3.645641 0.02244473 
1.28374 3.615214 -0.006789684 
0.9658794 3.600496 -0.0289402 
1.442236 3.749686 1.062531 
1.78754 3.781492 0.9011283 
1.785359 3.824941 0.6479497 
1.67965 3.812706 0.4130983 
1.500875 3.780849 0.239785 
1.303764 3.768554 0.1648893 
1.125439 3.802413 0.132884 
1.521329 3.830774 1.126112 
1.825865 3.794063 0.998702 
1.836515 3.801892 0.6127915 
1.741642 3.851414 0.394062 
1.587108 3.799633 0.2326875 
1.262334 3.815443 0.1582086 
1.091651 3.79894 0.1421571 
1.499967 3.793241 1.120959 
1.784821 3.882024 0.9742832 
1.903318 3.904558 0.710736 
1.780396 3.914945 0.387635 
1.53724 3.849559 0.1719294 
1.269509 3.868112 0.09137392 
1.049968 3.850775 0.0695107 
