target positions:
1.310553 2.871409 0.6126974 
1.454862 2.859501 0.5768816 
1.552916 2.848306 0.4650345 
1.569809 2.84181 0.3169732 
1.499526 2.842325 0.1854067 
1.367087 2.849668 0.1171722 
1.219641 2.861224 0.1365609 
1.306105 2.830808 0.6381841 
1.464309 2.817753 0.5989199 
1.571805 2.80548 0.4763033 
1.590324 2.798359 0.3139856 
1.513273 2.798923 0.1697509 
1.368083 2.806973 0.09494615 
1.20644 2.819643 0.1162019 
1.301657 2.790207 0.663671 
1.473757 2.776006 0.6209581 
1.590694 2.762655 0.4875722 
1.610839 2.754908 0.310998 
1.527022 2.755522 0.1540949 
1.369079 2.764278 0.07272029 
1.193239 2.778061 0.09584284 
1.311888 3.016188 0.7619109 
1.545385 2.99692 0.7039602 
1.70404 2.978806 0.5229878 
1.731373 2.968295 0.2834194 
1.617652 2.969128 0.07054019 
1.403363 2.981009 -0.03986549 
1.16479 2.999708 -0.0084939 
1.307569 2.989527 0.801765 
1.563549 2.968404 0.7382345 
1.737481 2.948546 0.5398366 
1.767445 2.937023 0.2772009 
1.642774 2.937936 0.0438242 
1.407851 2.950961 -0.07721233 
1.146308 2.971461 -0.04281998 
1.303249 2.962866 0.8416195 
1.581712 2.939888 0.7725086 
1.770921 2.918286 0.5566857 
1.803517 2.90575 0.2709825 
1.667897 2.906744 0.0171082 
1.41234 2.920913 -0.1145589 
1.127825 2.943213 -0.07714605 
1.320979 3.208843 0.8395562 
1.603291 3.185547 0.7694902 
1.795114 3.163646 0.5506842 
1.82816 3.150937 0.2610323 
1.690666 3.151945 0.003649235 
1.431577 3.166309 -0.1298375 
1.14313 3.188918 -0.0919075 
1.317535 3.200732 0.8868866 
1.62703 3.175193 0.8100743 
1.837323 3.151184 0.5702 
1.873552 3.137251 0.2526584 
1.722818 3.138355 -0.0295074 
1.438783 3.154104 -0.1758473 
1.122562 3.178889 -0.1342649 
1.314091 3.192621 0.934217 
1.650769 3.164839 0.8506579 
1.879533 3.138721 0.5897157 
1.918943 3.123565 0.2442842 
1.754971 3.124766 -0.06266427 
1.445988 3.141897 -0.2218573 
1.101993 3.16886 -0.1766229 
1.336254 3.416062 0.8322067 
1.618566 3.392766 0.7621408 
1.810389 3.370866 0.543335 
1.843436 3.358157 0.2536833 
1.705941 3.359164 -0.00369978 
1.446853 3.373529 -0.1371865 
1.158405 3.396137 -0.09925652 
1.334281 3.427904 0.8788295 
1.643776 3.402365 0.8020172 
1.854069 3.378356 0.5621433 
1.890298 3.364424 0.2446015 
1.739564 3.365528 -0.03756428 
1.455529 3.381276 -0.1839042 
1.139308 3.406061 -0.1423218 
1.332308 3.439746 0.9254527 
1.668986 3.411964 0.8418937 
1.89775 3.385846 0.5809515 
1.93716 3.37069 0.2355199 
1.773188 3.371891 -0.07142854 
1.464206 3.389022 -0.2306218 
1.12021 3.415984 -0.1853871 
1.355072 3.602016 0.7411342 
1.58857 3.582748 0.6831834 
1.747225 3.564635 0.5022111 
1.774558 3.554123 0.2626426 
1.660837 3.554956 0.04976344 
1.446548 3.566837 -0.06064224 
1.207975 3.585536 -0.02927065 
1.354912 3.631763 0.7789879 
1.610892 3.61064 0.7154572 
1.784824 3.590782 0.5170593 
1.814788 3.579259 0.2544236 
1.690117 3.580172 0.02104688 
1.455194 3.593197 -0.09998965 
1.193651 3.613697 -0.0655973 
1.354751 3.66151 0.8168416 
1.633214 3.638532 0.7477307 
1.822422 3.61693 0.5319078 
1.855018 3.604394 0.2462046 
1.719398 3.605388 -0.007669687 
1.463841 3.619557 -0.1393368 
1.179326 3.641857 -0.1019239 
result positions:
1.422152 2.819461 0.6351573 
1.521719 2.729475 0.5469508 
1.696271 2.59611 0.5092673 
1.666745 2.630419 0.2605963 
1.50212 2.787429 0.1935918 
1.411711 2.446733 0.0009818077 
1.214146 2.890359 0.1838238 
1.354205 2.485435 0.7134418 
1.477813 2.564087 0.6719327 
1.637343 2.465697 0.6021686 
1.682464 2.677435 0.3499446 
1.568817 2.665618 0.1189921 
1.391662 2.688316 0.02699137 
1.158189 2.449266 -0.05435419 
1.264243 2.469721 0.7912445 
1.481827 2.764393 0.6366138 
1.600846 2.510549 0.5927277 
1.654182 2.422626 0.3120854 
1.564926 2.58141 0.09043932 
1.338587 2.49713 0.0430932 
1.153803 2.476552 -0.00216341 
1.430826 2.827006 0.8128009 
1.639433 2.649701 0.7286577 
1.813708 2.722535 0.6048145 
1.726101 2.980222 0.2979665 
1.601855 2.97704 0.08050966 
1.410224 2.997712 -0.0038445 
