target positions:
1.351807 3.11198 0.6584713 
1.499116 3.115536 0.6352956 
1.607166 3.11279 0.5324972 
1.63749 3.10472 0.386672 
1.579294 3.094198 0.249733 
1.453296 3.08497 0.1704299 
1.304349 3.080322 0.1769946 
1.348332 3.047059 0.7010179 
1.518533 3.051167 0.6742408 
1.643373 3.047995 0.5554676 
1.67841 3.03867 0.3869815 
1.611171 3.026513 0.2287626 
1.465592 3.015851 0.1371362 
1.2935 3.010481 0.144721 
1.344857 2.982137 0.7435646 
1.53795 2.986799 0.7131858 
1.67958 2.983199 0.5784383 
1.719329 2.97262 0.3872912 
1.643047 2.958828 0.2077923 
1.477889 2.946733 0.1038425 
1.28265 2.94064 0.1124473 
1.32421 3.259494 0.8023653 
1.562561 3.265247 0.7648664 
1.737389 3.260804 0.5985348 
1.786455 3.247746 0.3625846 
1.692293 3.230721 0.1410127 
1.488423 3.21579 0.0126977 
1.247422 3.208269 0.02331948 
1.316447 3.217495 0.8672729 
1.591837 3.224143 0.8239465 
1.793833 3.21901 0.6317675 
1.850524 3.203922 0.3591511 
1.741729 3.184252 0.1031475 
1.506178 3.167001 -0.04510736 
1.227726 3.158311 -0.03283477 
1.308684 3.175497 0.9321799 
1.621113 3.183039 0.8830261 
1.850276 3.177215 0.665 
1.914592 3.160098 0.3557177 
1.791164 3.137782 0.06528234 
1.523932 3.118211 -0.1029119 
1.208031 3.108352 -0.08898902 
1.305251 3.453738 0.8740377 
1.593431 3.460695 0.8286991 
1.804808 3.455323 0.6275949 
1.864132 3.439534 0.3423176 
1.750284 3.41895 0.07442451 
1.503794 3.400898 -0.08071566 
1.21241 3.391805 -0.06787324 
1.294542 3.441925 0.9500828 
1.627505 3.449963 0.8976984 
1.871729 3.443756 0.6653435 
1.940271 3.425514 0.3357348 
1.808732 3.401731 0.02621174 
1.523937 3.380874 -0.1530366 
1.187274 3.370367 -0.1381986 
1.283833 3.430112 1.026127 
1.661578 3.43923 0.9666982 
1.938649 3.432189 0.7030919 
2.01641 3.411494 0.3291519 
1.867179 3.384512 -0.02200103 
1.544081 3.36085 -0.2253575 
1.162137 3.34893 -0.208524 
1.298209 3.661127 0.8610954 
1.586389 3.668084 0.8157568 
1.797766 3.662712 0.6146526 
1.85709 3.646923 0.3293753 
1.743242 3.626339 0.06148219 
1.496751 3.608287 -0.09365773 
1.205368 3.599194 -0.08081555 
1.286405 3.681541 0.9351292 
1.619368 3.689579 0.8827453 
1.863592 3.683372 0.6503901 
1.932134 3.665131 0.3207812 
1.800595 3.641348 0.01125836 
1.5158 3.620491 -0.16799 
1.179137 3.609984 -0.153152 
1.274601 3.701956 1.009163 
1.652346 3.711075 0.9497333 
1.929418 3.704033 0.6861272 
2.007179 3.683338 0.3121872 
1.857948 3.656356 -0.03896546 
1.534849 3.632694 -0.2423222 
1.152906 3.620774 -0.2254884 
1.3043 3.845801 0.7657766 
1.542651 3.851555 0.7282774 
1.717479 3.847111 0.5619462 
1.766545 3.834053 0.3259957 
1.672383 3.817028 0.1044238 
1.468513 3.802098 -0.02389121 
1.227512 3.794577 -0.01326942 
1.293443 3.894913 0.8249979 
1.568833 3.901561 0.7816715 
1.770829 3.896428 0.5894928 
1.82752 3.88134 0.3168764 
1.718724 3.861669 0.06087279 
1.483174 3.844419 -0.08738184 
1.204722 3.835729 -0.07510948 
1.282586 3.944026 0.8842196 
1.595015 3.951567 0.8350658 
1.824178 3.945743 0.6170397 
1.888494 3.928627 0.3077571 
1.765066 3.90631 0.01732183 
1.497835 3.886739 -0.1508725 
1.181933 3.876881 -0.1369495 
result positions:
1.40195 3.127952 0.7365184 
1.472538 3.111804 0.7248991 
1.563814 3.061482 0.6288714 
1.682509 3.046899 0.4376891 
1.629808 3.091335 0.2146103 
1.485996 3.067888 0.1470113 
1.239768 3.074848 0.185288 
1.280329 3.094366 0.8226871 
1.494452 3.004557 0.7271497 
1.622937 3.026431 0.5711219 
1.661932 3.023829 0.4394779 
1.58444 3.018021 0.2610364 
1.486569 3.013513 0.1868105 
1.234099 3.048682 0.1584473 
1.390815 3.007902 0.8172002 
1.586486 2.987161 0.6902814 
1.582674 2.999409 0.600904 
1.713167 2.976568 0.4299164 
1.651032 2.97168 0.2660871 
1.487284 3.007574 0.1215744 
1.275828 2.992332 0.1413059 
1.214876 3.236705 0.7697148 
1.448462 3.180504 0.8144851 
1.685641 3.198598 0.6406462 
1.747288 3.246282 0.3843403 
1.688246 3.209313 0.1519423 
1.484424 3.235852 0.0193119 
1.217757 3.206717 0.01140332 
1.224579 3.20112 0.8726296 
1.479782 3.108267 0.8950009 
1.812719 3.102325 0.6633728 
1.819388 3.155863 0.3889792 
1.710907 3.234596 0.1502929 
1.515032 3.16976 -0.02357793 
1.220793 3.136289 -0.040627 
1.130717 3.174016 0.9286532 
1.465298 3.081869 0.9031391 
1.864065 3.137178 0.684011 
1.904975 3.129868 0.3367701 
1.785477 3.142665 0.0726366 
1.502173 3.112811 -0.1069741 
1.181882 3.069268 -0.1291955 
1.111166 3.343977 1.002401 
1.639644 3.335946 0.9399447 
1.916354 3.364434 0.7333093 
1.895616 3.41644 0.3516152 
1.737988 3.430944 0.1271429 
1.506092 3.400892 -0.08038402 
1.193889 3.374075 -0.09678459 
1.216509 3.372032 0.9408584 
1.548084 3.358786 0.959753 
1.983174 3.324142 0.6825657 
1.946464 3.406086 0.2673869 
1.769788 3.416419 0.09613156 
1.500963 3.396967 -0.1146121 
1.172022 3.36453 -0.1450429 
1.084785 3.462145 1.149733 
1.602083 3.448626 1.015683 
1.991982 3.347294 0.6746898 
2.094774 3.389481 0.3999729 
1.841512 3.403362 0.004764795 
1.537215 3.374703 -0.2231214 
1.155012 3.345687 -0.2088332 
1.027791 3.615971 1.104528 
1.62647 3.69629 0.8569436 
1.86484 3.668415 0.6106014 
1.959717 3.668903 0.3594344 
1.721378 3.657401 0.09180689 
1.461092 3.609316 -0.08672762 
1.207505 3.59789 -0.1430304 
1.363244 3.714108 1.043226 
1.62951 3.668537 0.9346848 
1.969811 3.681568 0.6399565 
1.957655 3.708313 0.3149223 
1.764067 3.672526 0.05834866 
1.481197 3.629819 -0.1590939 
1.178331 3.63051 -0.167218 
1.219429 3.561178 1.058026 
1.672173 3.708815 1.025685 
2.038972 3.748351 0.7175865 
2.044845 3.707901 0.3316011 
1.821109 3.668571 0.01926041 
1.509637 3.643753 -0.2272153 
1.1269 3.643408 -0.2173603 
1.316577 3.846638 0.9217348 
1.651121 3.874745 0.6905808 
1.865385 3.848324 0.7410064 
1.90646 3.881077 0.475421 
1.68077 3.837268 0.1268246 
1.429651 3.805992 0.04357576 
1.199944 3.878024 -0.07530475 
1.422511 3.919461 0.9562984 
1.811102 3.919649 0.8607464 
1.948319 3.882022 0.5562232 
1.959277 3.858922 0.2983971 
1.707954 3.872861 0.08407164 
1.459257 3.876374 -0.1118553 
1.178371 3.887224 -0.1211462 
1.111876 3.907435 1.015344 
1.701778 3.919058 1.001663 
1.925405 3.93825 0.6159167 
1.896528 3.955549 0.3544903 
1.745085 3.930648 0.0516336 
1.452022 3.845729 -0.1192741 
1.139812 3.899122 -0.1924403 
result visibles:
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
True
True
False
False
False
False
False
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
False
True
True
True
False
False
False
True
True
True
True
