target positions:
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.3792582 2.642906 0.4752853 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.2167581 2.642906 0.518827 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.09779993 2.642906 0.6377852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.0542582 2.642906 0.8002852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.09779993 2.642906 0.9627852 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.2167582 2.642906 1.081743 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.3792582 2.642906 1.125285 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.5417581 2.642906 1.081743 
0.6607164 2.642906 0.9627852 
0.6607164 2.642906 0.9627852 
0.6607164 2.642906 0.9627852 
