target positions:
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.4579012 2.73691 0.3614334 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.2954012 2.73691 0.4049751 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.176443 2.73691 0.5239333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.1329013 2.73691 0.6864333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.176443 2.73691 0.8489333 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.2954012 2.73691 0.9678916 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.4579012 2.73691 1.011433 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.6204012 2.73691 0.9678916 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7393594 2.73691 0.8489333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7829012 2.73691 0.6864333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.7393594 2.73691 0.5239333 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.6204013 2.73691 0.4049751 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.4579013 2.974827 0.1235169 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
0.1764429 2.974827 0.1989334 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.02959871 2.974827 0.404975 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.1050152 2.974827 0.6864333 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
-0.02959877 2.974827 0.9678916 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.176443 2.974827 1.173933 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.4579012 2.974827 1.24935 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.7393594 2.974827 1.173933 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
0.9454012 2.974827 0.9678916 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
1.020818 2.974827 0.6864333 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.9454012 2.974827 0.404975 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.7393595 2.974827 0.1989334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.4579013 3.299827 0.03643334 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
0.1329012 3.299827 0.1235169 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1050152 3.299827 0.3614333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1920987 3.299827 0.6864333 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
-0.1050153 3.299827 1.011433 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.1329012 3.299827 1.24935 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.4579012 3.299827 1.336433 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
0.7829012 3.299827 1.24935 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.020818 3.299827 1.011433 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.107901 3.299827 0.6864333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
1.020818 3.299827 0.3614333 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.7829012 3.299827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.4579013 3.624827 0.1235169 
0.1764429 3.624827 0.1989334 
0.1764429 3.624827 0.1989334 
0.1764429 3.624827 0.1989334 
0.1764429 3.624827 0.1989334 
0.1764429 3.624827 0.1989334 
0.1764429 3.624827 0.1989334 
0.1764429 3.624827 0.1989334 
